priority,url,cluster,page_type,target_intent,gsc_submitted_date,bing_submitted_date,index_status,last_checked,impressions,clicks,avg_position,next_action,notes
1,https://coopqueue.com/,home,home,brand_and_entry,,,,,,,,,
2,https://coopqueue.com/games-like/repo/,repo_cluster,games_like,after_repo,,,,,,,,,
3,https://coopqueue.com/features/repo-vs-lethal-company/,repo_cluster,feature,comparison_first_buy,,,,,,,,,
4,https://coopqueue.com/games-like/lethal-company/,lethal_cluster,games_like,after_lethal_company,,,,,,,,,
5,https://coopqueue.com/games-like/content-warning/,content_warning_cluster,games_like,after_content_warning,,,,,,,,,
6,https://coopqueue.com/features/content-warning-vs-lethal-company/,comparison_cluster,feature,comparison_first_buy,,,,,,,,,
7,https://coopqueue.com/features/repo-less-scary-alternatives/,repo_cluster,feature,less_scary_pivot,,,,,,,,,
8,https://coopqueue.com/games-like/phasmophobia/,phasmophobia_cluster,games_like,after_phasmophobia,,,,,,,,,
9,https://coopqueue.com/best/proximity-chat-horror-games/,mechanics_cluster,best,mechanics_driven,,,,,,,,,
10,https://coopqueue.com/best/discord-night-games/,bridge_cluster,best,what_should_we_play_tonight,,,,,,,,,
11,https://coopqueue.com/features/repo-vs-content-warning/,repo_cluster,feature,comparison_first_buy,,,,,,,,,
12,https://coopqueue.com/features/repo-vs-panicore/,repo_cluster,feature,comparison_fear_split,,,,,,,,,
13,https://coopqueue.com/features/phasmophobia-vs-lethal-company/,phasmophobia_cluster,feature,comparison_depth_vs_speed,,,,,,,,,
14,https://coopqueue.com/best/co-op-horror-games-for-beginners/,bridge_cluster,best,beginner_first_buy,,,,,,,,,
15,https://coopqueue.com/best/cheap-coop-horror-games-under-10/,value_cluster,best,budget_first_buy,,,,,,,,,
16,https://coopqueue.com/best/co-op-horror-games-for-4-players/,party_size_cluster,best,four_player_buying,,,,,,,,,
